time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
6,1,2000,0,1,9.0,85000,738,29,95,0.0,12,0,0,1.0218909999999999,125.17,1.98,1.87,-0.81,-1.0,0.87,5889.023,0.06956038,1.0,1.2715,0.3,0.3,-1.04,-0.53,-1.61
23,1,2003,0,1,7.0,111000,699,43,80,1.941441,12,0,0,5.105648,133.88,9.54,1.21,-1.32,-1.32,-0.11,39792.03,0.02798172,0.8895304,1.3282,0.5,0.3,-1.25,2.83,-0.67
20,1,2002,0,1,7.0,150000,722,16,80,2.257733,12,0,0,5.949547,135.87,8.5,0.69,-0.95,-0.6,0.09,52616.56,0.03299627,0.9116479,1.352233,0.8,0.0,-0.63,2.36,-0.05
21,1,2003,0,1,6.75,275000,792,37,74,4.050287,12,0,0,29.13986,142.91,12.03,0.81,-0.67,-1.08,-0.27,87976.04,0.125722,1.117365,1.1069280000000001,0.2,0.1,-0.67,3.08,0.11
19,1,2001,0,1,7.75,174000,668,37,80,1.079954,12,0,0,15.372639999999999,154.55,32.41,0.64,-1.0,-0.95,-0.31,90467.16,0.08536652,1.004373,1.7735349999999999,0.7,0.5,-0.82,1.79,1.38
43,1,2003,0,1,7.875,158000,669,27,89,5.361025,12,0,0,11.257480000000001,120.72,17.99,2.085,-2.15,-2.17,-0.085,54454.2,0.02798172,0.8895304,1.284581,0.5,0.3,-1.25,2.83,-0.67
16,1,2002,0,1,7.125,120000,684,27,93,1.473333,12,0,0,4.541836,152.89,6.67,0.815,-1.3,-0.72,0.095,16429.44,0.04416445,0.9246634,1.473473,0.3,-0.1,-0.63,2.36,-0.05
23,1,2003,0,1,7.75,45000,769,26,74,1.7443110000000002,12,0,0,9.871023,135.61,14.67,1.96,-1.32,-1.32,0.64,23174.13,0.05614899,0.9392431,1.318068,0.1,0.3,-1.25,2.83,-0.67
8,1,2003,0,1,6.5,127000,726,33,64,0.34062990000000004,12,0,0,12.48196,176.42,16.07,0.56,-0.05,0.01,0.57,89945.66,0.14144379999999998,1.1275629999999999,1.362757,0.3,0.0,-0.67,3.08,0.11
11,1,2003,0,1,6.75,111000,743,31,91,0.8830631,12,0,0,7.2036039999999995,169.08,7.16,1.51,-0.93,-0.98,0.53,17123.6,0.07724351,1.016666,1.3989340000000001,0.5,0.3,-1.6,2.41,-0.82
