Paramter Settings for Experiment,,,,,,,,,,
c,Transformer 1,Transformer 2,Transformer 3,Transformer 4,Transformer 5,Transformer 6,Transformer 7,Transformer 8,LSTM 9,LSTM 10
Experiment,Transformer_main,Transformer_main,Transformer_main,Transformer_main,Transformer_main,Transformer_main,Transformer_main,Transformer_main,LSTM_main,LSTM_main
EID,indiv.,indiv.,indiv.,indiv.,indiv.,indiv.,indiv.,indiv.,indiv.,indiv.
,MODEL PARAMETERS,,,,,,,,,
window_size,80,80,80,80,80,80,40,80,80,80
V,200,200,200,200,200,200,200,200,-,-
N,6,6,6,6,6,6,6,6,-,-
dropout,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
convolve,3,3,3,3,0,3,3,3,-,-
pe_type,'global','relative','weekday',None,'global','global','global','global',-,-
attention_type,'full','full','full','full','full',"[79,73,67,62,57,52,48,44,40,37,34,31,29,27,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0]",'full','full',-,-
mode,'no;5'  ,'no;5'  ,'no;5'  ,'no;5'  ,'no;5'  ,'no;5'  ,'no;5'  ,'no;5'  ,-,-
,TRAINING PARAMETERS,,,,,,,,,
criterion,nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),nn.MSELoss(),ks.losses.BinaryCrossentropy(),ks.losses.BinaryCrossentropy()
learning,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
epochs,20,20,20,20,20,20,20,20,20,20
patience,3,3,3,3,3,3,3,3,3,3
nbatch,1,1,1,1,1,1,1,1,1,1
minibatch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-,-
m_init_freq,1,1,1,1,1,1,1,1,1,1
,SEQUENCE PARAMETERS,,,,,,,,,
block_size,320,320,320,320,320,320,320,320,320,320
step_size,40,40,40,40,40,40,40,40,40,40
,DATA PARAMETERS,,,,,,,,,
start,0,0,0,0,0,0,0,0,0,0
end,8088,8088,8088,8088,8088,8088,8088,8088,8088,8088
var_order,"['price','price']","['price','price']","['price','price']","['price','price']","['price','price']","['price','price']","['price','price']","['ret',price','average','price']","['ret','binclass']","['ret',price','average','binclass']"
trg_in_src,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
d_tgt,1,1,1,1,1,1,1,1,-,-
,LOCATION PARAMETERS,,,,,,,,,
data_path,'resources\SP500_Price_Inputdata.csv',,,,,,,,,
time_path,'resources\Timeline_010190_300621.csv',,,,,,,,,
