HARTFORD FINL.SVS.GP.,financials
EVERSOURCE ENERGY,utility
T ROWE PRICE GROUP,financials
NISOURCE,utility
EXELON,utility
SOUTHERN ,utility
METLIFE,financials
CHEVRON,utility
STATE STREET,financials
TEXAS INSTRUMENTS,technology
THERMO FISHER SCIENTIFIC,technology
TYSON FOODS 'A',consumer
UNION PACIFIC,other
RAYTHEON TECHNOLOGIES,technology
EBAY,technology
MOODY'S,financials
PROCTER & GAMBLE,consumer
PPG INDUSTRIES,other
PEPSICO,consumer
INTERNATIONAL PAPER ,other
KELLOGG,consumer
KIMBERLY-CLARK,consumer
KROGER,consumer
LEGGETT&PLATT,technology
LOEWS ,other
MCCORMICK & COMPANY NV.,consumer
S&P GLOBAL ,financials
CVS HEALTH ,other
CONOCOPHILLIPS ,resources
ENTERGY,utility
3M ,other
MOTOROLA SOLUTIONS ,technology
XCEL ENERGY ,utility
NORTHERN TRUST ,financials
PFIZER ,other
WHIRLPOOL ,other
XEROX HOLDINGS ,technology
MARRIOTT INTL.'A',other
ALTRIA GROUP ,other
PPL ,utility
PINNACLE WEST CAP. ,utility
PUB.SER.ENTER.GP.,utility
HARLEY-DAVIDSON ,technology
MACY'S ,consumer
QUALCOMM ,technology
VORNADO REALTY TRUST ,financials
WASTE MANAGEMENT ,utility
EDISON INTL. ,utility
STARBUCKS ,other
MORGAN STANLEY ,financials
KOHL'S ,consumer
FREEPORT-MCMORAN ,resources
D R HORTON ,other
MCKESSON ,other
DTE ENERGY ,utility
DARDEN RESTAURANTS ,other
WATERS ,technology
CONSOLIDATED EDISON ,utility
L3HARRIS TECHNOLOGIES ,technology
JUNIPER NETWORKS ,technology
MERCK & COMPANY ,other
DANAHER ,other
DEERE ,technology
INTERNATIONAL BUS.MCHS. ,technology
KLA ,technology
SEMPRA ,utility
FIRSTENERGY ,utility
ROCKWELL AUTOMATION ,technology
NORFOLK SOUTHERN ,other
DOMINION ENERGY ,utility
SEALED AIR ,other
PAYCHEX ,other
VALERO ENERGY ,resources
HUNTINGTON BCSH. ,financials
TAPESTRY ,other
FRANKLIN RESOURCES ,financials
FORD MOTOR ,technology
M&T BANK ,financials
U S BANCORP 100 DS ,financials
FIFTH THIRD BANCORP ,financials
EXXON MOBIL ,resources
OMNICOM GROUP ,other
CORNING ,technology
COLGATE-PALM. ,consumer
COCA COLA ,consumer
CATERPILLAR ,technology
CAMPBELL SOUP ,consumer
HUMANA ,financials
BRISTOL MYERS SQUIBB ,other
BOEING ,technology
WESTROCK ,other
AMER.ELEC.PWR. ,utility
DUPONT DE NEMOURS ,resources
BAKER HUGHES A ,resources
GENERAL DYNAMICS ,technology
GENERAL ELECTRIC ,technology
EATON ,technology
THE HERSHEY COMPANY(FRA) ,consumer
HALLIBURTON ,resources
WESTERN UNION ,financials
ARCONIC ,resources
HONEYWELL INTL. ,technology
ABBOTT LABORATORIES ,other
SHERWIN-WILLIAMS ,resources
CUMMINS ,technology
SCHLUMBERGER ,resources
EMERSON ELECTRIC ,technology
CSX ,other
CLOROX ,consumer
GENERAL MILLS ,consumer
NEWMONT ,resources
MCDONALDS ,other
ELI LILLY ,other
BAXTER INTL. ,other
BECTON DICKINSON ,other
JOHNSON & JOHNSON ,other
GENUINE PARTS ,technology
HP ,technology
WILLIAMS ,resources
JP MORGAN CHASE & CO. ,financials
INTL.FLAVORS & FRAG. ,other
WALT DISNEY ,other
MOLSON COORS BEVERAGE COMPANY B ,consumer
DUKE ENERGY ,utility
CIGNA ,financials
NEXTERA ENERGY ,utility
AMERICAN EXPRESS ,financials
WELLS FARGO & CO ,financials
LINCOLN NATIONAL ,financials
BANK OF AMERICA ,financials
INTEL ,technology
TARGET ,consumer
TEXTRON ,technology
V F ,other
WALGREENS BOOTS ALLIANCE ,other
AMERICAN INTL.GP. ,financials
PACCAR ,technology
FEDEX ,other
AUTOMATIC DATA PROC. ,other
WW GRAINGER ,technology
MASCO ,other
ARCHER DANIELS MIDLAND ,other
WALMART ,consumer
STANLEY BLACK & DECKER ,technology
SNAP-ON ,technology
BROWN-FORMAN 'B' ,other
APPLE ,technology
OCCIDENTAL PTL. ,resources
CONAGRA BRANDS ,consumer
L BRANDS ,other
AT&T ,technology
VERIZON COMMUNICATIONS ,technology
LOWE'S COMPANIES ,other
PULTEGROUP ,other
HESS ,resources
HASBRO ,other
BALL ,other
WELLCARE HEALTH PLANS DEAD - DELIST.24/01/20 ,financials
NUCOR ,resources
AIR PRDS.& CHEMS. ,resources
