date,headline
2007-01-01,AT&T; closes $86 billion BellSouth deal
2007-01-01,"Apple posts options expenses, stands by CEO Jobs"
2007-01-02,Two senior execs leave Bank of America
2007-01-02,Apple options probe spotlights ex-officials: paper
2007-01-03,Pepsi Bottling says recorded $55 mln benefit in Q4
2007-01-04,US STOCKS-Intel drives Nasdaq up more than 1 percent
2007-01-04,"US STOCKS-Tech shares rise on Intel, oil hits Dow"
2007-01-04,"US STOCKS-Intel leads tech stocks higher, Dow dips"
2007-01-05,Fox business channel lands Time Warner Cable deal
2007-01-08,Google tops Fortune list of best places to work
2007-01-08,"Sony, Microsoft hit game console targets"
2007-01-08,Gates sees Microsoft leading Sony in video games
2007-01-09,US STOCKS-Indexes cut losses; Apple rises
2007-01-09,"Apple to drop ""Computer"" from company name"
2007-01-09,Apple says iPhone models to cost $499 and $599
2007-01-09,Cisco expects Apple agreement on iPhone trademark
2007-01-09,FACTBOX-Key facts on Apple's new iPhone
2007-01-09,Apple rolls out much-anticipated iPhone
2007-01-09,Apple unveils iPhone
2007-01-09,Apple shares up after Jobs introduces mobile phone
2007-01-09,Pepsi Bottling to buy rights for Cadbury brands in N. California
2007-01-09,Pfizer in pact with private RNAi biotech company
2007-01-09,US STOCKS-Lower oil helps retailers; Apple climbs
2007-01-09,"Exxon Mobil, ConocoPhillips drop"
2007-01-10,ADR Report-Crude drags energy; Apple hits telecoms
2007-01-10,Apple iPhone hits handset makers' shares
2007-01-10,Apple shares hit high on iPhone
2007-01-10,Apple introduces svelte multimedia iPhone
2007-01-10,"NYSE, others buy 20 pct stake in India's NSE bourse"
2007-01-10,"Intel to supply Apple TV chip, but not iPhone chip"
2007-01-10,"Microsoft starts ""watershed"" year with Vista buzz"
2007-01-10,Chevron forms JV with Gazprom's oil unit
2007-01-10,"US STOCKS-Techs edge up on Apple, energy shares off"
2007-01-10,Apple's iPhone steals spotlight from rival tech show
2007-01-11,"Coke Consolidated, Cadbury ink Cinnabon lattes deal"
2007-01-11,NYSE changes options pricing on penny pilot issues
2007-01-11,Barclays launches eight bond ETFs on NYSE
2007-01-11,Pfizer says considering OTC form of Viagra
2007-01-11,Chevron and Gazprom JV to tap oil in West Siberia
2007-01-12,U.S. investigates options grant to Apple CEO: WSJ
2007-01-12,Nasdaq says share of NYSE-listed stocks rises
2007-01-12,"AT&T; to phase out Cingular, reclaim wireless brand"
2007-01-12,"Napster rises, Apple slips"
2007-01-14,"Honduras temporarily grabs Exxon, Chevron terminals"
2007-01-15,Fire at Calif. Chevron refinery limited: official
2007-01-15,Exxon Beaumont plant hit by Fri power outage-state
2007-01-15,Calif. refinery output unaffected by fire -Chevron
2007-01-15,Fire at Calif Chevron refinery limited: official
2007-01-15,"Fire at Chevron refinery in Richmond, California: TV"
2007-01-16,JPMorgan Chase adds Canada credit card unit jobs
2007-01-16,U.S. top court won't review IBM pension bias case
2007-01-17,"US STOCKS-Techs fall on Intel, Cisco; Apple on tap"
2007-01-17,Cisco hit by another downgrade
2007-01-17,"Microsoft, Nortel offer new products, services"
2007-01-17,Exxon sees '07 major project startups similar to '06
2007-01-17,JP Morgan net surges 68 pct on investment banking
2007-01-17,Intel shares fall
2007-01-17,Apple beats handily on top and bottom lines; guides Q2 below consensus
2007-01-17,"US STOCKS-Indexes flat after Intel, economic data"
2007-01-17,"US STOCKS-Indexes slip after inflation data, Intel"
2007-01-17,"US STOCKS-Indexes fall on inflation worries, Intel"
2007-01-18,"US STOCKS-Techs drop on Apple, semis; oil falls"
2007-01-18,"US STOCKS-Tech stocks tumble on Apple, semis"
2007-01-18,Coke says marketing president Minnick to leave
2007-01-18,"US STOCKS-Apple, semis drag down tech stocks"
2007-01-18,"Belgian group warns Yahoo, awaits Google ruling"
2007-01-18,US STOCKS-Tech shares fall with Apple; blue chips edge up
2007-01-18,Abbott Labs: General Electric confirms it will acquires Abbott's in vitro and Point-of-Care Diagnostics Businesses for $8.13 bln
2007-01-18,US STOCKS-Indexes fall as Apple weighs down techs
2007-01-18,US STOCKS-Nasdaq falls 1 percent as Apple extends fall
2007-01-18,Apple's iPod takes on global currency markets
2007-01-18,NASDAQ 100 Trust - - 50 Day Alert
2007-01-18,Intel edges up toward midday bounce high 
2007-01-18,"US STOCKS-Dow inches up, but Apple hits Nasdaq"
2007-01-18,"US STOCKS-Dow futures up after data, Apple hits Nasdaq"
2007-01-18,Apple: OPTi announces it initiates Patent Infringement Lawsuit against Apple 
2007-01-18,Intel margin pressure
2007-01-19,US STOCKS-Oil rebound keeps S&P; up; IBM hurts Dow
2007-01-19,Intel margin pressure
2007-01-20,Two Ex-NYSE traders each get 6 months for fraud
2007-01-20,Microsoft could launch Zune in Europe by end 2007
2007-01-21,U.S. AIDS group to sue Pfizer over Viagra ads
2007-01-21,EXCLUSIVE-U.S. AIDS group to sue Pfizer over Viagra ads
2007-01-21,Microsoft could launch Zune in Europe by end 2007
2007-01-21,Two Ex-NYSE traders each get 6 months for fraud
2007-01-21,Israeli PM 'Google-bombed' as 'miserable failure'
2007-01-22,Ex-Coke aide victimized by co-defendants - lawyer
2007-01-22,Sun Micro confirms will use some Intel chips
2007-01-22,Boeing sells 39 planes to GE unit for $5.3 billion
2007-01-22,US SEC takes no stance on HP shareholder proposal
2007-01-22,Pfizer profit jumps on sale of consumer unit
2007-01-22,IBM renews Microsoft rivalry with new Web software
2007-01-22,Global Payment Tech reports notification from NASDAQ
2007-01-22,Sun to add Intel as chip supplier
2007-01-22,Platform Solution countersues IBM in patent spat
2007-01-22,"AMD shares fall after Sun, Intel chip deal reports"
2007-01-22,AIDS group to sue Pfizer over Viagra ads
2007-01-22,Allegheny Technologies in GE Aviation supply deal
2007-01-23,Microsoft profit expected to fall in pre-Vista lull
2007-01-23,"US STOCKS-Exxon, United Tech lead market higher"
2007-01-23,"Bank of America, Wachovia profits soar on mergers"
2007-01-23,"Pfizer shares fall 2.5 pct after downgrade, outlook"
2007-01-23,"Bank of America profit up 47 pct, cautious on '07"
2007-01-23,"JP Morgan cuts Ecuador to underweight, spreads widen"
2007-01-23,Bank of America CEO won't push to up deposit cap
2007-01-23,"Pfizer cuts 7,800 more jobs as revenue stagnates"
2007-01-24,Cingular profit surges; lifts AT&T; shares
2007-01-24,Coke says Indian govt backs it in pesticide row
2007-01-24,Cisco gets U.S. antitrust OK for IronPort
2007-01-24,RPT-DAVOS-Novartis sees limited fallout from Pfizer cuts
2007-01-24,Apple's Jobs questioned by US authorities--reports
2007-01-24,NYSE completes third phase of hybrid platform
2007-01-24,ISE Stock Exchange adds S&P; 1500 to displayed market
2007-01-25,Exxon Mobil says Baytown refinery ops back to normal
2007-01-25,AT&T; sees 20-25 pct of its job cuts from Cingular
2007-01-25,"Time Warner adds Bewkes, Zander to board"
2007-01-25,Gamers see gain and pain from Microsoft Vista
2007-01-25,Intel margin pressure
2007-01-25,"Cisco CEO calls IPhone suit ""minor skirmish"" -report"
2007-01-25,Norway tells Apple change iTunes or face court
2007-01-25,"SEC, Euronext regulators team up for NYSE merger"
2007-01-25,Microsoft beats by $0.03; guides in-line
2007-01-25,"Fox subpoenas YouTube after ""24"" clips posted"
2007-01-25,Swedish Bonnier to buy 18 Time Warner magazines
2007-01-25,Warner and Sony BMG invest in Chinese mobile play
2007-01-25,Nokia sees Apple's iPhone stimulating mobile market
2007-01-25,Callwave announces it expands distribution of Visual Voicemail Widget to the Apple Dashboard
2007-01-25,Exxon Mobil cuts rates at Baytown after small fire
2007-01-26,Fox subpoenas YouTube -report
2007-01-26,Microsoft cuts Xbox 360 shipment forecast
2007-01-26,Intel margin pressure
2007-01-26,"Microsoft shares rise after results, outlook"
2007-01-26,Russian technical agency clears Chevron pipeline
2007-01-26,"US STOCKS-Indexes inch up with Caterpillar, Microsoft"
2007-01-26,Pfizer says to appeal Canadian court ruling
2007-01-26,Novell Receives NASDAQ notice of non-compliance
2007-01-26,"YouTube, Wikipedia storm into 2006 top brand ranking"
2007-01-27,"Rocker Gabriel wants ""YouTube for human rights"""
2007-01-27,"Bank of America, Countrywide in merger talks: FT"
2007-01-29,FACTBOX-Facts about Microsoft's new Windows Vista
2007-01-29,Microsoft Vista corporate sales go very well
2007-01-29,NASD fines Bank of America unit over laundering
2007-01-29,Chevron donates $10 million to U.S. peace institute
2007-01-29,Market View: New session lows for Nasdaq Comp and S&P; 500
2007-01-30,"US STOCKS-Dow, S&P; rise with Exxon; Starbucks helps Nasdaq"
2007-01-30,Pepsi Bottling posts higher fourth-quarter profit
