time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
14,1,2001,0,1,8.25,89000,613,31,90,0.8224831,12,0,0,3.337019,119.82,6.21,1.33,-1.08,-1.21,0.12,15746.09,0.03091135,0.9708606,1.222324,0.3,0.1,-0.86,1.61,1.87
20,1,2005,0,1,5.875,119000,752,55,69,2.054706,12,0,0,47.58937,178.66,73.91,0.215,0.89,0.42,0.635,127255.5,0.20128210000000002,1.275379,1.3553110000000002,-0.7,-0.1,0.07,1.89,-1.38
10,1,2003,0,1,6.875,133000,653,49,95,0.5205303,12,0,0,2.794283,138.39,6.74,0.975,-1.16,-0.98,-0.005,14401.61,0.03803233,0.8970063,1.367158,-0.3,0.0,-0.99,2.88,-0.51
14,1,2002,0,1,8.25,194000,707,49,80,1.4255149999999999,12,0,0,10.06305,124.58,8.64,1.29,-0.2,-0.17,1.12,68083.61,0.09132428,1.021786,1.210397,1.9,0.3,-0.12,3.39,3.38
35,1,2003,0,1,8.25,86000,648,48,70,2.220895,12,0,0,19.706,117.51,21.35,2.46,-2.09,-2.34,0.12,61088.62,0.08651092,0.9850436,1.184995,-0.8,-0.1,-1.01,2.73,-0.46
39,1,2002,0,1,8.0,82000,715,30,90,3.126244,11,1,0,39.12405,136.19,40.29,1.87,-1.87,-1.63,0.24,38628.64,0.14969849999999998,1.0948,1.370922,0.8,0.1,-0.6,2.82,0.04
21,1,2002,0,1,8.5,85000,689,32,67,1.3665530000000001,12,0,0,4.715122,126.57,9.18,1.32,-0.77,-0.95,0.37,52228.69,0.038676499999999996,0.9563129000000001,1.294325,1.5,0.1,0.39,3.49,3.02
11,1,2003,0,1,7.375,66000,688,23,80,0.1005538,12,0,0,2.213254,150.17,3.29,2.065,-1.08,-1.03,1.035,18095.43,0.02954942,0.8873418,1.410248,0.6,0.2,-1.59,2.5,-0.93
47,1,2006,0,1,6.125,143000,701,26,80,5.41049,12,0,0,20.947210000000002,153.96,52.2,-0.055,0.66,0.39,0.335,104092.0,0.003531787,0.8172023,1.543554,0.0,0.0,0.09,-0.29,-0.87
72,0,2005,0,0,6.75,184000,726,23,69,21.45022826,12,0,0,33.60499839,126.67,52.75,0.71,-0.68,-0.89,-0.18,233184.7959,0.039052711000000004,0.786052581,1.5246753519999998,-0.5,-0.1,0.67,1.76,-1.13
13,1,2002,0,1,7.25,68000,754,31,72,0.3351343,12,0,0,2.695307,125.64,2.03,0.49,-0.23,-0.44,0.05,27783.62,0.0262079,0.9268499,1.225277,1.4,-0.1,-0.23,3.43,1.66
57,1,2004,0,1,7.25,75000,633,23,89,6.684627000000001,12,0,0,26.19566,128.18,29.02,1.24,-1.59,-1.79,-0.55,33361.82,0.03216102,0.8481153,1.3754819999999999,-0.4,-0.2,0.39,3.41,0.58
32,1,2002,0,1,7.75,119000,650,28,95,2.70479,12,0,0,29.280690000000003,119.38,13.17,0.57,-0.66,-0.62,-0.05,23300.89,0.10832830000000002,1.045187,1.1563510000000001,1.8,0.4,0.39,3.49,3.02
29,2,2004,1,0,7.375,63000,732,51,90,2.138317,3,7,2,9.135083999999999,192.12,14.63,1.055,-0.32,-0.64,0.415,13677.66,0.03122483,0.8250678,1.8247630000000001,-0.4,0.2,1.15,3.7,1.2
33,1,2006,0,1,5.875,120000,778,35,43,3.5228330000000003,12,0,0,10.30702,146.95,13.0,-0.265,0.77,0.74,0.475,187985.2,0.01565185,0.7427663000000001,1.310219,-0.4,0.0,0.06,-0.34,-1.0
10,1,2002,0,1,6.75,275000,768,28,46,1.690073,12,0,0,7.541015,171.44,15.66,0.76,-1.22,-1.17,-0.41,382081.6,0.06763001,0.9771834,1.643848,1.0,-0.1,-0.86,2.24,0.15
